epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,310.979,0.41137,0.85,1,0.40579,0.00329317,0.00329317,0.0703614
2,670.217,0.36424,0.9,1,0.3333,0.0064953,0.0064953,0.0402302
3,971.397,0.38631,0.93333,1,0.16766,0.00956543,0.00956543,0.00996704
4,1283.62,0.34587,0.91667,1,0.26329,0.009406,0.009406,0.009406
5,1610.14,0.4705,0.88333,1,0.30373,0.009208,0.009208,0.009208
6,1954.61,0.3751,0.9,1,0.20692,0.00901,0.00901,0.00901
7,2252.7,0.33379,0.98333,1,0.06646,0.008812,0.008812,0.008812
8,2597.76,0.3077,0.98333,1,0.05579,0.008614,0.008614,0.008614
9,2948.84,0.33936,0.98333,1,0.1128,0.008416,0.008416,0.008416
10,3292.64,0.36664,0.98333,1,0.04627,0.008218,0.008218,0.008218
11,3607.68,0.30265,0.96667,1,0.0474,0.00802,0.00802,0.00802
12,3975.92,0.27055,1,1,0.02864,0.007822,0.007822,0.007822
13,4361.08,0.279,0.98333,1,0.04446,0.007624,0.007624,0.007624
14,4819.45,0.26466,1,1,0.01795,0.007426,0.007426,0.007426
15,5268.22,0.26616,0.98333,1,0.04931,0.007228,0.007228,0.007228
16,5809.43,0.24578,1,1,0.06774,0.00703,0.00703,0.00703
17,6358.39,0.25866,0.98333,1,0.08843,0.006832,0.006832,0.006832
18,6899.21,0.20596,0.98333,1,0.03068,0.006634,0.006634,0.006634
19,7383.27,0.19666,0.98333,1,0.03377,0.006436,0.006436,0.006436
20,7756.99,0.17779,0.96667,1,0.10569,0.006238,0.006238,0.006238
21,8119.2,0.20328,1,1,0.04151,0.00604,0.00604,0.00604
22,8475.55,0.23334,1,1,0.03294,0.005842,0.005842,0.005842
23,8836.35,0.22704,0.96667,1,0.07046,0.005644,0.005644,0.005644
24,9193.53,0.17354,0.98333,1,0.02627,0.005446,0.005446,0.005446
25,9544.21,0.16774,1,1,0.01491,0.005248,0.005248,0.005248
26,9905.37,0.16098,1,1,0.01582,0.00505,0.00505,0.00505
27,10265.3,0.1745,1,1,0.01853,0.004852,0.004852,0.004852
28,10639.3,0.1664,1,1,0.0052,0.004654,0.004654,0.004654
29,11026.3,0.16845,1,1,0.01264,0.004456,0.004456,0.004456
30,11434.1,0.16322,0.98333,1,0.04349,0.004258,0.004258,0.004258
31,11851.5,0.17701,1,1,0.00396,0.00406,0.00406,0.00406
32,12380.1,0.20321,0.98333,1,0.03456,0.003862,0.003862,0.003862
33,12841.9,0.15701,1,1,0.02057,0.003664,0.003664,0.003664
